,03-Dec,04-Dec,05-Dec,06-Dec,07-Dec,08-Dec,09-Dec,10-Dec
Total,262.13,274.99,281.95,281.95,281.85,281.76,0.0,0.0
bb953f35-22e7-431c-a6c3-fa44e577c5bc,262.13,274.99,281.95,281.95,281.85,281.76,,
