,30-Nov,01-Dec,02-Dec,03-Dec,04-Dec,05-Dec,06-Dec,07-Dec
Total,0.0,262.13,262.13,262.13,274.99,281.95,281.95,281.85
bb953f35-22e7-431c-a6c3-fa44e577c5bc,,262.13,262.13,262.13,274.99,281.95,281.95,281.85
