,05-Dec,06-Dec,07-Dec,08-Dec,09-Dec,10-Dec,11-Dec,12-Dec
Total,2085.41,2248.11,2037.88,2100.7,2068.81,2031.31,1479.64,0.0
cf3f6f7b-ff9c-4b92-9274-f1dc97f65949,583.64,582.48,584.15,582.79,582.99,583.39,376.58,
1938e4e2-bdc7-4840-8e9c-049fbb405175,1501.77,1665.63,1453.73,1517.91,1485.82,1447.92,1103.06,
