4	15	21
4	30	25
4	35	32
4	40	30
4	45	37
4	50	33
5	40	27
5	45	27
5	50	26
5	55	27
6	0	25
6	5	24
6	10	24
6	15	25
6	20	26
6	25	27
7	55	20
8	0	19
8	5	17
8	10	18
8	15	18
8	20	19
8	35	18
8	40	16
8	45	16
8	50	16
8	55	18
9	0	19
9	5	19
9	10	17
9	15	19
9	20	18
9	25	18
9	30	18
9	35	17
9	40	15
9	45	20
9	50	20
9	55	20
10	0	20
10	5	18
10	10	16
10	15	16
10	20	18
10	25	19
10	30	19
10	35	21
10	40	23
10	45	20
10	50	20
10	55	19
11	0	18
11	5	18
11	10	17
4	55	36
5	0	35
5	5	35
6	40	26
6	45	27
13	5	14
13	10	15
13	15	14
13	20	14
13	25	13
13	30	14
13	35	12
13	40	11
13	45	11
13	50	11
4	20	25
4	25	25
6	55	26
7	0	27
7	5	25
7	10	22
7	15	23
7	20	19
7	25	21
7	35	20
7	40	20
7	45	19
7	50	19
11	15	15
11	20	15
11	25	15
11	30	12
11	35	14
11	40	14
11	45	13
11	50	14
11	55	14
12	0	13
12	5	13
12	10	17
12	15	16
12	20	17
12	25	15
12	30	13
12	35	15
12	40	15
12	45	12
12	50	11
12	55	13
13	0	12
13	55	10
5	20	28
5	25	27
4	10	11
5	15	32
5	30	26
5	35	28
8	30	18
7	30	21
8	25	18
6	30	28
6	35	27
6	50	27
5	10	33
14	0	8
14	5	9
14	10	7
14	15	5
14	20	3
14	25	3
14	30	2
14	35	1
14	40	2
14	45	2
14	50	3
14	55	3
15	0	2
4	5	8
0	0	1
0	5	1
0	10	1
0	15	1
0	20	1
0	25	1
0	30	1
0	35	1
0	40	1
0	45	1
0	50	1
0	55	1
1	0	1
1	5	1
1	10	1
1	15	1
1	20	1
1	25	1
1	30	1
1	35	1
1	40	1
1	45	1
1	50	1
1	55	1
2	0	1
2	5	1
2	10	1
2	15	1
2	20	1
2	25	1
2	30	1
2	35	1
2	40	1
2	45	1
4	0	4
3	50	4
3	25	1
3	30	1
3	35	1
3	40	1
3	45	3
3	55	3
2	55	1
3	0	1
